,Название,Краткое описание,Аудитория,Источники заработка
0,Yahoo Finance Event Calendar,"Календарь отчетов о доходах, дивидендах и экономических данных, а также другие событиях, таких как заседания центрального банка и IPO компаний.","Посещаемость около 4 миллионов. Источник: прямой и поисковый. Страны: США, Канада","Реклама, продажа доступа к данным, спонсорские события"
1,ForexFactory Calendar,Все события представлены в одной удобной таблице,"Посещаемость около 2 миллионов. Источник: прямой. Страны: США, Индия","Аналогично Yahoo, но без рекламы"
2,Coinmarketcal,Календарь событий в мире блокчейна и криптовалют,"Посещаемость около 300 тысяч. Источник: прямой и поисковый. Страны: Турция, Вьетнам",Продвижение событий и ICO в рейтинге за отдельную плату
